明朝那些事儿（壹）,8.7,163063,当年明月 ,1
万历十五年,8.9,117566,[美] 黄仁宇 ,1
汴京之围,8.4,2090,郭建龙 ,1
中国历代政治得失,9.2,34932,钱穆 ,1
明朝那些事儿（1-9）,9.1,58066,当年明月 ,1
夹边沟记事,9.2,22535,杨显惠 ,1
万古江河,8.5,817,许倬云 ,1
中央帝国的军事密码,8.3,265,郭建龙 ,1
显微镜下的大明,8.7,8895,马伯庸 ,1
简读中国史,8.3,705,张宏杰 ,1
中国大历史,8.3,23444,黄仁宇 ,1
天朝的崩溃,9.1,8909,茅海建 ,1
东晋门阀政治,9.4,3335,田余庆 ,1
万历十五年,9.1,3444,黄仁宇 ,1
邓小平时代,9.1,21447,[美] 傅高义 ,1
中央帝国的财政密码,8.4,4575,郭建龙 ,1
叫魂,9,14351,[美] 孔飞力 ,1
半小时漫画中国史2,7.4,6511,陈磊（笔名：二混子） ,1
中国近代史,8.9,6724,[美] 徐中约 ,1
资治通鉴,9.5,2151,司马光 ,1
战国歧途,8.9,365,刘勃 ,1
山月记,8.8,3923,[日]中岛敦 ,1
史大V（上下）,9.3,11058,X穆 ,1
大秦帝国,8.7,11468,孙皓晖 ,1
中国历代政治得失,9.3,5339,钱穆 ,1
史记,9.5,3849,司马迁 ,1
饥饿的盛世,8.4,3986,张宏杰 ,1
南明史,9.2,2371,顾诚 ,1
潜规则,8.3,14339,吴思 ,1
明朝那些事儿（贰）,8.9,50568,当年明月 ,1
明朝那些事儿,9.2,20086,当年明月 ,1
史记（全十册）,9.5,14476,司马迁、张守节 ,1
血酬定律,8.2,10211,吴思 ,1
讲谈社・中国的历史（十卷本）,8.5,1228,(日) 宫本一夫、(日) 平势隆郎、(日) 鹤间和幸、(日) 金文京、(日) 川本芳昭、(日) 气贺泽保规、(日) 小岛毅、(日) 杉山正明、(日) 上田信、(日) 菊池秀明 ,1
“山中”的六朝史,9.4,98,魏斌 ,1
魏晋之际的政治权力与家族网络,9.4,1161,仇鹿鸣 ,1
中国文化课,8.3,104,余秋雨 ,1
国史大纲（上下新校本）,9.5,445,钱穆 ,1
国史大纲,9.5,187,钱穆 ,1
东周列国志,9.1,1132,（明）冯梦龙 著 ,1
中通史,8.3,191,伊藤道治,1
剑桥中国史（全十册）,8.9,861,费正清 ,1
半小时漫画中国史3,7.5,4639,陈磊 ,1
中国历代政治得失,9.4,4591,钱穆 ,1
万历十五年,9,2380,(美) 黄仁宇 ,1
中近代史（上裕,9.4,5504,[美] 徐中s ,1
明朝那些事儿（肆）,8.8,38293,当年明月 ,1
陈寅恪魏晋南北朝史讲演录,9,3572,万绳楠 ,1
三国志,9.3,2374,[x] 陈寿 (撰)、[宋] 裴松之 (注) ,1
哈佛中国史（全六卷）,8.5,966,[加] 卜正民 等 ,1
明朝那些事儿（叁）,8.9,41945,当年明月 ,1
明朝那些事儿（柒）,8.9,29390,当年明月 ,1
叫魂,9.2,2209,孔飞力 (Philip A.Kuhn) ,1
资治通鉴,9.7,421,司马光 ,1
万历十五年,9,18073,[美] 黄仁宇 ,1
讲给大家的中国历史01,9,349,杨照 ,1
蒋介石与现代中国,8.6,3967,[美] 陶涵 ,1
蒋介石的战略布局（1939-1941）,9.2,67,邓野 ,1
南京大屠杀,9.5,2867,[美] 张纯如 ,1
易中天中华史,8.2,1054,易中天 ,1
南渡君臣,8.3,69,虞云国 ,1
明朝那些事儿（伍）,8.8,34927,当年明月 ,1
饥饿的盛世,8.4,1966,张宏杰 ,1
曾国藩（上中下）,8.6,6325,唐浩明 ,1
我的前半生,7.6,4892,爱新觉罗・溥仪 ,1
中国历史地图集（全八册）,9.6,1178,谭其骧 ,1
万历十五年（增订本）,9.1,18125,[美] 黄仁宇 ,1
资治通鉴,9.8,751,司马光 ,1
半小时漫画中国史4,7.8,549,二混子 ,1
中国历代政治得失,9.6,206,钱穆 ,1
大明王朝的七张面孔,8.3,4099,张宏杰 ,1
天国之秋,8.6,3899,[美] 裴士锋 (Stephen R.Platt) ,1
传统十论,9.1,2658,秦晖 ,1
中国近代史,9,2663,蒋廷黻 ,1
中国历史通论,9,179,王家范 ,1
中国近代史,8.8,5647,蒋廷黻 ,1
中国古代文化常识,9,3122,王力 编 ,1
战国歧途,8.6,821,刘勃 ,1
秦汉魏晋史探微,9.4,1109,田余庆 ,1
上下五千年,8.6,7011,林汉达、曹余章 ,1
二十四史,9.4,398,中华书局编辑部 编著 ,1
说中国,8.3,1185,许倬云 ,1
中国史纲,9.1,1755,张荫麟 ,1
唐朝穿越指南,7.8,7092,森林鹿 ,1
中国人史纲（上中下）,8.5,6495,柏杨 ,1
中华上下五千年,8.2,803,吴兆基、臧瀚之 ,1
秦崩,8,1762,李开元 ,1
苦难辉煌,7.9,2247,金一南 ,1
波峰与波谷,8.6,749,阎步克 ,1
赫逊河畔谈中国历史,8.1,5756,黄仁宇 ,1
哇，历史原来可以这样学1,8.4,1296,林欣浩 ,1
从晚清到民国,8.3,2229,【美】唐德刚 ,1
清代的案与刑,8.8,149,郑小悠 ,1
朱元璋传,7.6,1351,吴晗 ,1
草与禾,8.1,50,波音 ,1
